Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Ares Commercial Real Estate","ACRE","2","4.9","269.63","48.17","100","91","447856"
"Altimmune","ALT","2","4.65","485.19","25.97","21.6","60","2982121"
"Aveanna Healthcare","AVAH","2","8.44","1763.21","795.83","48.49","60","1753593"
"Ballard Power Systems","BLDP","2","2.89","868.68","41.75","15.32","67","6601188"
"DigitalBridge Group","DBRG","2","9.41","1718.97","25.86","3.03","91","3691929"
"Digi International","DGII","2","38.53","1430.32","13.18","5.77","38","182455"
"Guardian Pharmacy Services, Inc.","GRDN","2","27.91","1767.28","1750","8","60","369489"
"Hanmi Financial","HAFC","2","25.91","776.14","23.09","5.47","20","187664"
"Healthcare Services Group","HCSG","2","17.19","1211.13","69.81","4.55","48","772384"
"Heritage Financial","HFWA","2","22.04","748.41","17.12","2.4","83","184390"
"Horace Mann Educators","HMN","2","45.95","1869.47","46.23","2.87","35","260404"
"Jamf","JAMF","2","12.86","1713.24","39.34","2.27","63","5078731"
"Jade Biosciences, Inc.","JBIO","2","12.65","412.73","96.39","17.12","83","224830"
"Lexeo Therapeutics, Inc.","LXEO","2","9.18","670.02","37.11","28.08","60","1398525"
"NB Bancorp, Inc.","NBBK","2","18.85","750.73","45.61","4.55","48","370978"
"NGL Energy Partners","NGL","2","9.91","1245.91","204","28.57","91","501952"
"Palisade Bio","PALI","2","2.07","308.44","93.67","96.88","83","4369490"
"The Pennant Group","PNTG","2","26.09","902.55","22.34","6.67","60","323551"
"Rapport Therapeutics, Inc.","RAPP","2","25.32","1206.78","26.32","13.72","83","365427"
"The Real Brokerage","REAX","2","3.65","773.07","67.86","16.67","63","1605291"
"Redwood Trust","RWT","2","5.07","642.28","51.92","17.65","91","1197514"
"Rezolute","RZLT","2","10.16","942.11","16.33","27.27","83","1572246"
"Sana Biotechnology","SANA","2","3.53","940.27","26.75","26.96","83","4163393"
"Sight Sciences","SGHT","2","7.14","377.5","12.12","28.77","67","208583"
"Theravance Biopharma","TBPH","2","18.49","936.93","171.88","70.37","60","471373"
"Telos","TLS","2","5.63","415.24","116.94","68.75","82","1110885"
"Tango Therapeutics","TNGX","2","8","1076.75","23.67","10.44","83","4598964"
"TriMas","TRS","2","31.65","1286.44","26.06","3.36","12","815004"
"Veris Residential","VRE","2","15.09","1409.8","12.22","3.23","88","626764"
"Weave Communications","WEAV","2","5.81","453.33","66.67","42.86","58","1430636"
"WisdomTree, Inc.","WT","2","11.1","1561.94","25","6.64","63","3083892"
"X4 Pharmaceuticals","XFOR","2","3.6","314.77","49.07","34.47","83","1766587"
